

                                                    S&L PROCESSING REPORT                                             Page  1

Transaction Code        Amount        Payment Type        Store Number        Invoice Number        SKU Code        Tax Owing
       S                $10.00            CA                  02                 ED-590201      AADFSKJ84MS0913         $1.30

       S                $89.99            CR                  02                 AC-610223      WI8HRW8H43FJSHF        $11.69

       L                $49.99            DB                  02                 AD-620224      LFW8H88W84HFW4F         $6.49

       S                $29.99            DB                  02                 EC-660227      WI8HRW8H43FJSHF         $3.89

       S                $10.00            CA                  02                 ED-670228      SDFSKJ84MS09123         $1.30

       S               $129.99            DB                  02                 BA-680229      247R20EHF02EF8E        $16.89

       S                $89.99            CR                  02                 BD-690230      WI8HRW8H43FJSHF        $11.69

                                                    S&L PROCESSING REPORT                                             Page  3

Transaction Code        Amount        Payment Type        Store Number        Invoice Number        SKU Code        Tax Owing

       S                $10.00            CA                  02                 BE-700231      SDFSKJ84MS09123         $1.30

       S             $1,129.99            DB                  02                 BC-710232      247R20EHF02EF8E       $146.89

       S                 $9.99            CR                  02                 CA-720233      WI8HRW8H43FJSHF         $1.29

       S                $29.99            DB                  02                 DB-760337      WI8HRW8H43FJSH2         $3.89

       S                $10.00            CA                  03                 DC-770401      SDFSKJ84MS09123         $1.30

       S               $129.99            DB                  03                 DE-780402      247R20EHF02EF8E        $16.89

       S                $89.99            CR                  03                 EA-790403      WI8HRW8H43FJSHF        $11.69

       L                $49.99            DB                  03                 EB-800404      LFW8H88W84HFW4F         $6.49

       S                $20.00            CA                  03                 ED-820405      SDFSKJ84MS09123         $2.60

       S               $149.99            CR                  03                 AB-830406      247R20EHF02EF8E        $19.49

       S                $29.99            DB                  03                 AC-840407      WI8HRW8H43FJSHF         $3.89

       S               $129.99            DB                  03                 AE-860409      247R20EHF02EF8E        $16.89

       S                $10.00            CA                  03                 BD-880411      SDFSKJ84MS09123         $1.30

       L             $1,129.99            DB                  03                 DE-890412      247R20EHF02EF8E       $146.89

       S               $129.99            DB                  04                 BD-100509      247R20EHF02EF8E        $16.89

       S                $10.00            CA                  04                 CA-102511      SDFSKJ84MS09123         $1.30

       S             $1,129.99            DB                  04                 CD-103512      247R20EHF02EF8E       $146.89

       S                 $9.99            CR                  04                 CE-104513      WI8HRW8H43FJSHF         $1.29

       L                $49.99            DB                  04                 DA-105514      LFW8H88W84HFW4F         $6.49

       S               $149.99            CR                  05                 DE-108516      247R20EHF02EF8E        $19.49

                                                    S&L PROCESSING REPORT                                             Page  4

Transaction Code        Amount        Payment Type        Store Number        Invoice Number        SKU Code        Tax Owing

       S                $29.99            DB                  05                 ED-109517      WI8HRW8H43FJSHF         $3.89

       S               $729.99            DB                  05                 EB-111519      247R20EHF02EF8E        $94.89

       S                $89.99            CR                  05                 EA-112523      WI8HRW8H43FJSHF        $11.69

       S                $20.00            CA                  05                 DB-115525      SDFSKJ84MS09123         $2.60

       S               $149.99            CR                  05                 DA-116526      247R20EHF02EF8E        $19.49

       S                $29.99            DB                  05                 CA-117527      WI8HRW8H43FJSHF         $3.89

       S                $10.00            CA                  05                 CB-118528      SDFSKJ84MS09123         $1.30

       S               $129.49            CA                  05                 CD-119529      247R20EHF02EF8E        $16.83

       S                $89.99            CR                  12                 CE-120530      WI8HRW8H43FJSHF        $11.69

       S             $8,010.00            CA                  12                 DA-121631      SDFSKJ84MS09123     $1,041.30

       S             $1,129.99            DB                  12                 DB-122632      247R20EHF02EF8E       $146.89

       L               $149.99            DB                  12                 DE-124634      LFW8H88W84HFW4F        $19.49

       L                $49.99            DB                  12                 AB-129614      LFW8H88W84HFW4F         $6.49

       S               $149.99            CR                  12                 AE-132616      247R20EHF02EF8E        $19.49

       S                $10.00            CA                  02                 BC-134601      AADFSKJ84MS0913         $1.30

       L                $49.99            DB                  05                 CA-137624      LFW8H88W84HFW4F         $6.49

       S                $20.00            CA                  01                 CD-139625      SDFSKJ84MS09123         $2.60

       S               $149.99            CR                  02                 CE-140626      247R20EHF02EF8E        $19.49

       S                $29.99            DB                  03                 DA-141627      WI8HRW8H43FJSHF         $3.89

       S                $10.00            CA                  04                 DB-142628      SDFSKJ84MS09123         $1.30

                                                    S&L PROCESSING REPORT                                             Page  5

Transaction Code        Amount        Payment Type        Store Number        Invoice Number        SKU Code        Tax Owing

       S                $89.99            CR                  12                 DE-144630      WI8HRW8H43FJSHF        $11.69

       S                $10.00            CA                  01                 EA-145631      SDFSKJ84MS09123         $1.30

       S             $1,129.99            DB                  02                 EB-146632      247R20EHF02EF8E       $146.89

       S                 $9.99            CR                  03                 EC-147633      WI8HRW8H43FJSHF         $1.29

       L               $149.99            DB                  04                 ED-148634      LFW8H88W84HFW4F        $19.49


Number of S&L Records: 85
Number of S Records: 69
Number of L Records: 16
Number of Cash Payments: 22 (% 26)
Number of Credit Payments: 23 (% 27)
Number of Debit Payments: 40 (% 47)
Total Tax Owing:  $2,968.50
Store with highest S&L: 12
Store with lowest S&L: 05